# file
# or
# 2:geneCompleteness
EbroNfe1_000002-T1 798
EbroNfe1_000005-T1 1690
EbroNfe1_000007-T1 851
EbroNfe1_000027-T1 303
EbroNfe1_000032-T1 1241
EbroNfe1_000034-T1 589
EbroNfe1_000071-T1 30
EbroNfe1_000238-T1 0
EbroNfe1_000256-T1 596
EbroNfe1_000274-T1 321
EbroNfe1_000348-T1 1492
EbroNfe1_000352-T1 2196
EbroNfe1_000441-T1 706
EbroNfe1_000449-T1 1746
EbroNfe1_000453-T1 1108
EbroNfe1_000454-T1 428
EbroNfe1_000481-T1 820
EbroNfe1_000482-T1 3044
EbroNfe1_000485-T1 4580
EbroNfe1_000487-T1 7781
EbroNfe1_000490-T1 10451
EbroNfe1_000492-T1 12326
EbroNfe1_000497-T1 16825
EbroNfe1_000498-T1 18180
EbroNfe1_000499-T1 19015
EbroNfe1_000502-T1 20775
EbroNfe1_000505-T1 25410
EbroNfe1_000509-T1 28367
EbroNfe1_000515-T1 32533
EbroNfe1_000520-T1 33295
EbroNfe1_000529-T1 29935
EbroNfe1_000532-T1 27872
EbroNfe1_000534-T1 23952
EbroNfe1_000537-T1 22185
EbroNfe1_000546-T1 14110
EbroNfe1_000549-T1 12142
EbroNfe1_000550-T1 8997
EbroNfe1_000554-T1 6301
EbroNfe1_000558-T1 5217
EbroNfe1_000570-T1 2311
EbroNfe1_000575-T1 5250
EbroNfe1_000580-T1 7626
EbroNfe1_000584-T1 9091
EbroNfe1_000589-T1 12856
EbroNfe1_000593-T1 11054
EbroNfe1_000596-T1 9951
EbroNfe1_000598-T1 7081
EbroNfe1_000603-T1 5991
EbroNfe1_000605-T1 3772
EbroNfe1_000609-T1 2496
EbroNfe1_000612-T1 1158
EbroNfe1_000616-T1 274
EbroNfe1_000684-T1 805
EbroNfe1_000686-T1 4087
EbroNfe1_000687-T1 5323
EbroNfe1_000689-T1 6003
EbroNfe1_000690-T1 2816
EbroNfe1_000692-T1 860
EbroNfe1_000742-T1 0
EbroNfe1_000802-T1 924
EbroNfe1_000807-T1 389
EbroNfe1_000815-T1 107
EbroNfe1_000858-T1 540
EbroNfe1_000878-T1 206
EbroNfe1_000884-T1 352
EbroNfe1_000971-T1 1871
EbroNfe1_000978-T1 6634
EbroNfe1_000985-T1 9285
EbroNfe1_000993-T1 16378
EbroNfe1_000997-T1 18840
EbroNfe1_000999-T1 20684
EbroNfe1_001002-T1 23369
EbroNfe1_001009-T1 26354
EbroNfe1_001015-T1 24015
EbroNfe1_001016-T1 21734
EbroNfe1_001019-T1 18859
EbroNfe1_001021-T1 17746
EbroNfe1_001023-T1 15365
EbroNfe1_001026-T1 13502
EbroNfe1_001028-T1 12679
EbroNfe1_001031-T1 10340
EbroNfe1_001034-T1 5740
EbroNfe1_001040-T1 4623
EbroNfe1_001042-T1 319
EbroNfe1_001080-T1 0
EbroNfe1_001083-T1 2048
EbroNfe1_001085-T1 6342
EbroNfe1_001088-T1 8870
EbroNfe1_001094-T1 13704
EbroNfe1_001096-T1 15705
EbroNfe1_001098-T1 17027
EbroNfe1_001101-T1 18489
EbroNfe1_001102-T1 19165
EbroNfe1_001104-T1 14763
EbroNfe1_001106-T1 11588
EbroNfe1_001110-T1 9664
EbroNfe1_001113-T1 5565
EbroNfe1_001118-T1 4280
EbroNfe1_001120-T1 590
EbroNfe1_001128-T1 1052
EbroNfe1_001133-T1 1149
EbroNfe1_001138-T1 96
EbroNfe1_001175-T1 37
EbroNfe1_001178-T1 1381
EbroNfe1_001180-T1 3080
EbroNfe1_001182-T1 5407
EbroNfe1_001187-T1 6765
EbroNfe1_001192-T1 810
EbroNfe1_001290-T1 187
EbroNfe1_001314-T1 2120
EbroNfe1_001317-T1 5674
EbroNfe1_001320-T1 8341
EbroNfe1_001326-T1 4675
EbroNfe1_001328-T1 3502
EbroNfe1_001329-T1 1929
EbroNfe1_001359-T1 990
EbroNfe1_001375-T1 90
EbroNfe1_001378-T1 1912
EbroNfe1_001382-T1 5211
EbroNfe1_001386-T1 6662
EbroNfe1_001389-T1 8907
EbroNfe1_001391-T1 10279
EbroNfe1_001392-T1 10970
EbroNfe1_001394-T1 10073
EbroNfe1_001400-T1 7651
EbroNfe1_001406-T1 6188
EbroNfe1_001411-T1 720
EbroNfe1_001427-T1 142
EbroNfe1_001431-T1 2493
EbroNfe1_001436-T1 4544
EbroNfe1_001438-T1 8297
EbroNfe1_001444-T1 8919
EbroNfe1_001448-T1 5481
EbroNfe1_001452-T1 3851
EbroNfe1_001456-T1 2007
EbroNfe1_001461-T1 511
EbroNfe1_001495-T1 1512
EbroNfe1_001499-T1 7477
EbroNfe1_001501-T1 9750
EbroNfe1_001504-T1 11829
EbroNfe1_001509-T1 8840
EbroNfe1_001512-T1 5112
EbroNfe1_001541-T1 383
EbroNfe1_001549-T1 411
EbroNfe1_001551-T1 1406
EbroNfe1_001554-T1 3959
EbroNfe1_001559-T1 7373
EbroNfe1_001567-T1 10840
EbroNfe1_001569-T1 12083
EbroNfe1_001575-T1 14781
EbroNfe1_001580-T1 17713
EbroNfe1_001581-T1 18920
EbroNfe1_001585-T1 21391
EbroNfe1_001588-T1 21366
EbroNfe1_001590-T1 19593
EbroNfe1_001594-T1 12545
EbroNfe1_001599-T1 8082
EbroNfe1_001601-T1 4552
EbroNfe1_001602-T1 2657
EbroNfe1_001640-T1 974
EbroNfe1_001643-T1 1106
EbroNfe1_001644-T1 284
EbroNfe1_001672-T1 775
EbroNfe1_001679-T1 959
EbroNfe1_001682-T1 2239
EbroNfe1_001684-T1 3413
EbroNfe1_001689-T1 533
EbroNfe1_001712-T1 3135
EbroNfe1_001717-T1 5719
EbroNfe1_001719-T1 7610
EbroNfe1_001726-T1 10397
EbroNfe1_001730-T1 12616
EbroNfe1_001732-T1 14174
EbroNfe1_001736-T1 17378
EbroNfe1_001739-T1 20514
EbroNfe1_001745-T1 16896
EbroNfe1_001748-T1 14333
EbroNfe1_001751-T1 13649
EbroNfe1_001753-T1 10715
EbroNfe1_001757-T1 9525
EbroNfe1_001758-T1 5837
EbroNfe1_001763-T1 2573
EbroNfe1_001766-T1 827
EbroNfe1_001829-T1 1139
EbroNfe1_001835-T1 3364
EbroNfe1_001838-T1 5181
EbroNfe1_001844-T1 5244
EbroNfe1_001849-T1 618
EbroNfe1_001886-T1 1685
EbroNfe1_001889-T1 401
EbroNfe1_001905-T1 735
EbroNfe1_001909-T1 3134
EbroNfe1_001914-T1 1580
EbroNfe1_001920-T1 533
EbroNfe1_001951-T1 1676
EbroNfe1_001956-T1 3249
EbroNfe1_001958-T1 5109
EbroNfe1_001965-T1 9272
EbroNfe1_001969-T1 11959
EbroNfe1_001971-T1 13306
EbroNfe1_001974-T1 8781
EbroNfe1_001978-T1 7343
EbroNfe1_001981-T1 5486
EbroNfe1_001983-T1 3705
EbroNfe1_001988-T1 909
EbroNfe1_002023-T1 219
EbroNfe1_002034-T1 6602
EbroNfe1_002038-T1 7679
EbroNfe1_002041-T1 5928
EbroNfe1_002044-T1 3293
EbroNfe1_002045-T1 1191
EbroNfe1_002051-T1 432
EbroNfe1_002053-T1 2037
EbroNfe1_002054-T1 4176
EbroNfe1_002058-T1 413
EbroNfe1_002068-T1 1853
EbroNfe1_002072-T1 4754
EbroNfe1_002074-T1 6358
EbroNfe1_002079-T1 11299
EbroNfe1_002080-T1 12452
EbroNfe1_002082-T1 13633
EbroNfe1_002090-T1 18177
EbroNfe1_002092-T1 19561
EbroNfe1_002094-T1 21085
EbroNfe1_002097-T1 23016
EbroNfe1_002101-T1 25422
EbroNfe1_002106-T1 29943
EbroNfe1_002113-T1 34605
EbroNfe1_002119-T1 38304
EbroNfe1_002125-T1 41910
EbroNfe1_002133-T1 49488
EbroNfe1_002134-T1 52403
EbroNfe1_002136-T1 53128
EbroNfe1_002137-T1 50448
EbroNfe1_002138-T1 49790
EbroNfe1_002140-T1 42523
EbroNfe1_002143-T1 39989
